Subset      Reference   Calculated
IDISP          -60.28   -67.71
IDISP           -1.21    -3.47
IDISP            9.10     7.04
IDISP           -3.64    -2.68
IDISP           -1.96     0.21
IL16          -100.41   -96.73
IL16          -120.80  -123.47
IL16          -116.91  -120.42
IL16          -105.01  -103.50
IL16          -104.44  -103.36
IL16           -87.42   -87.98
IL16          -114.00  -111.88
IL16          -113.51  -111.62
IL16          -114.91  -112.83
IL16          -112.75  -112.65
IL16          -104.47  -105.46
IL16          -118.19  -115.70
IL16          -112.02  -110.47
IL16          -106.53  -107.25
IL16          -110.98  -112.60
IL16          -102.37  -106.05
INV24           31.70    31.32
INV24           69.30    71.38
INV24           60.60    75.72
INV24           37.00    29.27
INV24           74.20    72.23
INV24            9.70     5.44
INV24           18.90    24.17
INV24           43.20    42.89
INV24           79.70    87.91
INV24           31.20    33.19
INV24           29.30    29.06
INV24           10.30    10.12
INV24            4.50     5.02
INV24           24.70    27.71
INV24           37.60    41.77
INV24            4.10     5.07
INV24           13.10    13.71
INV24           11.20     5.87
INV24            6.20     5.39
INV24           21.30    15.15
INV24           42.30    34.54
INV24           27.20    29.39
INV24            8.40     4.21
INV24           68.60    63.61
ISO34            1.49    -0.30
ISO34           23.36    21.93
ISO34            7.27     5.40
ISO34            1.06     0.53
ISO34            1.23     2.33
ISO34            2.49     3.25
ISO34           11.15     6.62
ISO34           22.59    24.95
ISO34            6.54     7.09
ISO34            3.80     4.94
ISO34            1.58     3.21
ISO34           45.65    48.81
ISO34           36.85    40.31
ISO34           24.58    35.72
ISO34            8.25     8.28
ISO34           10.02     7.23
ISO34           28.51    28.44
ISO34           11.68    11.79
ISO34            4.58     6.78
ISO34           18.12    18.84
ISO34            1.16     1.54
ISO34            4.65     2.55
ISO34            5.54     3.95
ISO34           12.26    12.03
ISO34           26.14    24.40
ISO34           17.14    18.88
ISO34           66.06    67.12
ISO34           31.26    29.22
ISO34           13.05    18.86
ISO34            9.98    11.65
ISO34           15.23    20.69
ISO34            6.64     9.32
ISO34            8.70     5.72
ISO34            6.77     7.69
ISOL24          71.01    77.03
ISOL24          38.50    46.13
ISOL24          10.69    13.72
ISOL24          69.03    76.85
ISOL24          33.08    40.73
ISOL24          24.41    45.19
ISOL24          17.88    20.56
ISOL24          22.04     8.76
ISOL24          21.09    22.93
ISOL24           6.49     3.44
ISOL24          36.90    54.52
ISOL24           0.42    -0.95
ISOL24          33.02    32.24
ISOL24           5.32     2.95
ISOL24           4.14     9.95
ISOL24          23.00    22.39
ISOL24           9.83    15.04
ISOL24          24.14    17.53
ISOL24          18.04    15.92
ISOL24           4.97     2.23
ISOL24          11.90    20.60
ISOL24          -0.14    -6.45
ISOL24          24.61    27.76
ISOL24          15.40    16.56
MB16-43        869.60   930.25
MB16-43        737.79   725.68
MB16-43        518.66   461.94
MB16-43        356.85   266.73
MB16-43        147.68   150.23
MB16-43        368.49   306.54
MB16-43        557.98   576.58
MB16-43        681.96   619.04
MB16-43        381.43   364.05
MB16-43         46.31     5.66
MB16-43        294.41   254.54
MB16-43        453.06   422.05
MB16-43         19.88   102.36
MB16-43        384.89   315.65
MB16-43        216.10   170.21
MB16-43        326.76   187.93
MB16-43        653.59   606.79
MB16-43        580.86   580.26
MB16-43        664.56   637.16
MB16-43        242.81   228.74
MB16-43        806.23   756.49
MB16-43        706.20   694.99
MB16-43        215.39   129.75
MB16-43       1070.64  1038.03
MB16-43        322.49   292.93
MB16-43        373.67   347.77
MB16-43        114.97   111.12
MB16-43        325.12   358.12
MB16-43        695.10   680.83
MB16-43       1290.74  1257.09
MB16-43        534.90   503.69
MB16-43        685.58   654.85
MB16-43        312.69   304.97
MB16-43        538.26   502.74
MB16-43        228.17   127.58
MB16-43        552.85   578.52
MB16-43        629.78   558.73
MB16-43         98.19    85.29
MB16-43        436.40   441.86
MB16-43       -362.98  -480.67
MB16-43        160.29   108.77
MB16-43        754.65   729.43
MB16-43        421.97   452.21
MCONF            0.39     0.91
MCONF            1.74     1.77
MCONF            1.16     1.62
MCONF            2.20     3.12
MCONF            2.20     3.21
MCONF            2.68     3.32
MCONF            2.92     3.47
MCONF            2.23     2.35
MCONF            2.84     3.88
MCONF            4.24     4.55
MCONF            4.45     4.75
MCONF            3.60     3.45
MCONF            2.25     2.65
MCONF            3.74     3.69
MCONF            5.00     5.46
MCONF            5.11     5.27
MCONF            3.18     3.36
MCONF            3.83     4.49
MCONF            3.80     4.91
MCONF            3.11     3.18
MCONF            5.27     5.72
MCONF            5.31     5.82
MCONF            4.50     4.33
MCONF            3.85     3.52
MCONF            4.55     4.45
MCONF            4.76     5.49
MCONF            4.37     5.18
MCONF            5.27     4.72
MCONF            5.67     6.24
MCONF            4.86     5.62
MCONF            6.24     6.73
MCONF            6.26     6.79
MCONF            5.85     6.51
MCONF            5.37     5.97
MCONF            5.53     6.00
MCONF            7.53     7.78
MCONF            5.88     6.30
MCONF            5.58     6.22
MCONF            6.98     7.20
MCONF            7.07     7.33
MCONF            6.39     6.64
MCONF            7.32     7.51
MCONF            7.39     7.62
MCONF            6.18     7.14
MCONF            7.82     7.85
MCONF            7.89     7.93
MCONF            6.74     7.09
MCONF            8.19     8.30
MCONF            8.20     8.31
MCONF            7.28     7.93
MCONF            8.75     9.19
NBPRC          -32.10   -34.55
NBPRC           -0.20     3.87
NBPRC           37.60    44.53
NBPRC          -19.50   -27.73
NBPRC          -48.90   -52.92
NBPRC          -46.10   -58.99
NBPRC          -25.20   -18.71
NBPRC           40.40    48.21
NBPRC          -15.20   -27.47
NBPRC           18.50    24.57
NBPRC          -31.20   -41.45
NBPRC           17.60    23.39
PA26           167.20   174.07
PA26           192.90   205.69
PA26           209.20   223.38
PA26           219.20   234.28
PA26           211.90   219.11
PA26           171.40   174.64
PA26           157.40   160.61
PA26           156.90   160.62
PA26           192.80   196.40
PA26           174.30   177.61
PA26           137.80   138.45
PA26           106.20   100.14
PA26           120.80   114.38
PA26           191.90   197.90
PA26           190.90   198.61
PA26           218.20   229.42
PA26           200.40   211.76
PA26           210.20   216.18
PA26           188.30   193.28
PA26           181.90   187.43
PA26           221.30   230.34
PA26           219.60   238.79
PA26           192.90   207.83
PA26           210.70   217.33
PA26           236.00   249.05
PA26           235.10   247.21
PArel            1.61     1.46
PArel            8.50     8.86
PArel            2.94     2.44
PArel            6.22     7.92
PArel            7.19     8.88
PArel            2.38     3.27
PArel            1.19     0.28
PArel            0.79     1.47
PArel            7.05     7.73
PArel            2.98     1.72
PArel            3.41     2.52
PArel            3.21     1.73
PArel            0.60     1.76
PArel            7.21     4.48
PArel            2.36     2.55
PArel           17.88    13.90
PArel           11.20    -1.57
PArel            1.27    -6.64
PArel            2.47     6.09
PArel            2.15     4.24
PCONF21          0.02    -3.88
PCONF21          1.01    -2.56
PCONF21          0.70     1.35
PCONF21          0.85    -2.36
PCONF21          0.78     0.85
PCONF21          1.92    -2.13
PCONF21          2.18     1.64
PCONF21          1.61     1.22
PCONF21          1.89    -1.52
PCONF21          2.07    -2.27
PCONF21          1.07     5.27
PCONF21          1.23     6.58
PCONF21          2.44     6.69
PCONF21          2.14     2.54
PCONF21          1.47     4.96
PCONF21          2.80     8.38
PCONF21          2.27     5.67
PCONF21          2.74     3.48
PNICO23          1.43     1.15
PNICO23          8.02     4.02
PNICO23          0.64    -0.39
PNICO23          4.26     2.18
PNICO23          2.86     1.79
PNICO23          1.32     1.06
PNICO23          4.29     2.50
PNICO23          2.63     1.80
PNICO23          4.91     3.93
PNICO23          2.21     1.47
PNICO23          1.40     0.84
PNICO23          2.62     1.06
PNICO23          3.98     2.34
PNICO23          4.10     2.53
PNICO23          4.34     2.76
PNICO23          1.78     0.84
PNICO23          7.10     5.06
PNICO23          2.35     1.49
PNICO23          5.95     5.47
PNICO23          8.18     5.56
PNICO23          4.92     2.64
PNICO23          8.03     4.99
PNICO23         10.97     7.65
PX13            59.30    58.86
PX13            46.90    36.70
PX13            48.40    37.85
PX13            48.60    44.73
PX13            29.80    18.57
PX13            26.60    11.13
PX13            30.10    10.26
PX13            35.10    11.05
PX13            42.30    30.82
PX13            20.70     5.38
PX13            14.70    -1.82
PX13            14.60    -4.29
PX13            16.60    -5.52
RC21            23.43    37.11
RC21            26.66    39.42
RC21            24.74    35.30
RC21            59.44    61.35
RC21            57.93    70.69
RC21            36.56    42.49
RC21            17.91    17.99
RC21            16.80    15.88
RC21            49.85    59.50
RC21            45.16    54.02
RC21            22.24    23.15
RC21            -6.72    -7.37
RC21            21.21    25.19
RC21            22.03    35.66
RC21            28.12    41.26
RC21            -0.73    12.35
RC21            50.66    77.27
RC21            30.38    39.22
RC21            49.73    59.39
RC21            32.81    68.69
RC21           126.56   152.56
RG18             0.08     0.05
RG18             0.27     0.17
RG18             0.27     0.15
RG18             0.77     0.59
RG18             0.54     0.31
RG18             1.51     1.18
RG18             1.13     0.66
RG18             0.23     0.23
RG18             0.59     0.33
RG18             0.12     0.14
RG18             0.33     0.31
RG18             0.24     0.31
RG18             0.54     0.41
RG18             0.40     0.42
RG18             1.12     0.96
RSE43          416.62   415.40
